Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.6,2855086,768,3717.6,3712.0,3328,4543,100.3,"conv_state_concat(const float *, const float *, float *, float *, long, int, int, long, long, long, long, long, const float *, long, float *, long)"
0.6,2731942,64,42686.6,37999.0,9024,78335,33141.6,"void mul_mat_vec_q<(ggml_type)19, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.6,2691945,256,10515.4,10400.0,9600,11744,396.6,"void flash_attn_ext_f16<(int)256, (int)256, (int)4, (int)8, (bool)0, (bool)0, (bool)0, (ggml_type)1, (ggml_type)1, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)"
0.5,2600165,1024,2539.2,2528.0,2272,2944,99.1,"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.4,1850027,784,2359.7,2336.0,1728,3008,127.1,"void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.4,1793230,768,2334.9,2335.0,2016,2880,105.6,"void rms_norm_silu_f32<(int)128, float>(const float *, const float *, const float *, T2 *, int, long, long, long, float)"
0.3,1522467,768,1982.4,1983.0,1760,2496,80.5,"void ssm_conv_f32<(bool)1, (unsigned long)128, (unsigned long)4>(const float *, const float *, const float *, int, int, int, int, float *, int, int, int, long, long)"
0.3,1445446,768,1882.1,1888.0,1664,2208,59.9,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.2,965868,768,1257.6,1248.0,1152,1344,29.5,"void unary_op_kernel<&op_sigmoid, float>(const T2 *, T2 *, int)"
0.2,961067,768,1251.4,1248.0,1120,1376,32.4,"void unary_op_kernel<&op_softplus, float>(const T2 *, T2 *, int)"
0.2,910284,256,3555.8,3520.0,3232,4256,158.1,"void rms_norm_mul_rope_f32<(int)256, (bool)0, float>(const float *, T3 *, int, long, long, long, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long *, int, bool, mrope_sections, int, bool, bool)"
0.1,696299,256,2719.9,2720.0,2496,2880,58.0,"void rms_norm_mul_rope_f32<(int)256, (bool)0, __half>(const float *, T3 *, int, long, long, long, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long *, int, bool, mrope_sections, int, bool, bool)"
0.1,650320,256,2540.3,2560.0,2336,2656,59.5,"void flash_attn_stream_k_fixup_uniform<(int)256, (int)4, (int)8>(float *, const float2 *, int, int, int, int, int, int, uint3, uint3, uint3)"
0.1,446905,256,1745.7,1760.0,1600,1920,47.3,"void unary_gated_op_kernel<&op_sigmoid, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.1,430970,256,1683.5,1696.0,1536,1792,34.1,"void k_set_rows<float, long, __half>(const T1 *, const T2 *, T3 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, uint3, uint3, uint3)"
