Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
2.1,10492671,1536,6831.2,6752.0,5888,7391,301.7,"void mul_mat_vec_f<__nv_bfloat16, float, (int)4, (int)256, (bool)0, (bool)0>(const T1 *, const float *, const int *, ggml_cuda_mm_fusion_args_device, float *, int, uint3, int, int, int, uint3, int, int, int, uint3, int, int, int, int)"
1.2,5995400,2816,2129.0,2176.0,1695,2656,187.0,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
1.1,5342586,2064,2588.5,2592.0,2367,3520,82.3,"void rms_norm_mul_bcast_f32<(int)1024, float, (int)5>(const float *, const float *, T2 *, int, long, long, long, float)"
1.0,5149475,768,6705.0,6719.0,6368,7200,102.7,"void k_get_rows_float_vec<float>(const T1 *, const int *, T1 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.6,3018595,64,47165.5,34336.0,31263,92542,23028.7,"void mul_mat_vec_q<(ggml_type)29, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.6,2864850,768,3730.3,3743.0,3359,4544,96.9,"conv_state_concat(const float *, const float *, float *, float *, long, int, int, long, long, long, long, long, const float *, long, float *, long)"
0.6,2742661,64,42854.1,38334.5,8959,78463,33311.1,"void mul_mat_vec_q<(ggml_type)19, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.6,2702478,256,10556.6,10432.0,9536,11872,413.1,"void flash_attn_ext_f16<(int)256, (int)256, (int)4, (int)8, (bool)0, (bool)0, (bool)0, (ggml_type)1, (ggml_type)1, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)"
0.5,2603796,1024,2542.8,2528.0,2304,2976,98.8,"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.4,1858539,784,2370.6,2351.5,1792,3072,129.7,"void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.4,1818298,768,2367.6,2351.5,2048,2752,105.4,"void rms_norm_silu_f32<(int)128, float>(const float *, const float *, const float *, T2 *, int, long, long, long, float)"
0.3,1531237,768,1993.8,1984.0,1792,2496,79.4,"void ssm_conv_f32<(bool)1, (unsigned long)128, (unsigned long)4>(const float *, const float *, const float *, int, int, int, int, float *, int, int, int, long, long)"
0.3,1449151,768,1886.9,1888.0,1696,2048,56.2,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.2,969639,768,1262.6,1280.0,1152,1408,26.4,"void unary_op_kernel<&op_sigmoid, float>(const T2 *, T2 *, int)"
0.2,968647,768,1261.3,1280.0,1152,1376,28.2,"void unary_op_kernel<&op_softplus, float>(const T2 *, T2 *, int)"
0.2,912718,256,3565.3,3552.0,3232,4288,160.4,"void rms_norm_mul_rope_f32<(int)256, (bool)0, float>(const float *, T3 *, int, long, long, long, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long *, int, bool, mrope_sections, int, bool, bool)"
0.1,698998,256,2730.5,2720.0,2496,2912,58.0,"void rms_norm_mul_rope_f32<(int)256, (bool)0, __half>(const float *, T3 *, int, long, long, long, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long *, int, bool, mrope_sections, int, bool, bool)"
0.1,651757,256,2545.9,2560.0,2367,2624,53.4,"void flash_attn_stream_k_fixup_uniform<(int)256, (int)4, (int)8>(float *, const float2 *, int, int, int, int, int, int, uint3, uint3, uint3)"
0.1,447191,256,1746.8,1743.5,1632,1920,47.6,"void unary_gated_op_kernel<&op_sigmoid, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.1,432211,256,1688.3,1696.0,1568,1760,32.7,"void k_set_rows<float, long, __half>(const T1 *, const T2 *, T3 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, uint3, uint3, uint3)"
